id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_relawan,satuan,tahun
1,32,JAWA BARAT,BEKASI,21,ORANG,2019
2,32,JAWA BARAT,BOGOR,102,ORANG,2019
3,32,JAWA BARAT,KABUPATEN BANDUNG,21,ORANG,2019
4,32,JAWA BARAT,KABUPATEN BANDUNG BARAT,63,ORANG,2019
5,32,JAWA BARAT,KABUPATEN CIAMIS,3,ORANG,2019
6,32,JAWA BARAT,KABUPATEN CIANJUR,18,ORANG,2019
7,32,JAWA BARAT,KABUPATEN CIREBON,6,ORANG,2019
8,32,JAWA BARAT,KABUPATEN GARUT,96,ORANG,2019
9,32,JAWA BARAT,KABUPATEN INDRAMAYU,6,ORANG,2019
10,32,JAWA BARAT,KABUPATEN KARAWANG,40,ORANG,2019
11,32,JAWA BARAT,KABUPATEN KUNINGAN,54,ORANG,2019
12,32,JAWA BARAT,KABUPATEN MAJALENGKA,41,ORANG,2019
13,32,JAWA BARAT,KABUPATEN PANGANDARAN,1,ORANG,2019
14,32,JAWA BARAT,KABUPATEN PURWAKARTA,4,ORANG,2019
15,32,JAWA BARAT,KABUPATEN SUBANG,21,ORANG,2019
16,32,JAWA BARAT,KABUPATEN SUMEDANG,9,ORANG,2019
17,32,JAWA BARAT,KABUPATEN TASIKMALAYA,1,ORANG,2019
18,32,JAWA BARAT,KOTA BANDUNG,166,ORANG,2019
19,32,JAWA BARAT,KOTA BANJAR,4,ORANG,2019
20,32,JAWA BARAT,KOTA CIMAHI,34,ORANG,2019
21,32,JAWA BARAT,KOTA CIREBON,93,ORANG,2019
22,32,JAWA BARAT,KOTA DEPOK,30,ORANG,2019
23,32,JAWA BARAT,KOTA TASIKMALAYA,8,ORANG,2019
24,32,JAWA BARAT,SUKABUMI,20,ORANG,2019
25,32,JAWA BARAT,BEKASI,21,ORANG,2021
26,32,JAWA BARAT,BOGOR,37,ORANG,2021
27,32,JAWA BARAT,KABUPATEN BANDUNG,40,ORANG,2021
28,32,JAWA BARAT,KABUPATEN BANDUNG BARAT,20,ORANG,2021
29,32,JAWA BARAT,KABUPATEN CIAMIS,3,ORANG,2021
30,32,JAWA BARAT,KABUPATEN CIANJUR,25,ORANG,2021
31,32,JAWA BARAT,KABUPATEN CIREBON,14,ORANG,2021
32,32,JAWA BARAT,KABUPATEN GARUT,105,ORANG,2021
33,32,JAWA BARAT,KABUPATEN INDRAMAYU,45,ORANG,2021
34,32,JAWA BARAT,KABUPATEN KARAWANG,40,ORANG,2021
35,32,JAWA BARAT,KABUPATEN KUNINGAN,21,ORANG,2021
36,32,JAWA BARAT,KABUPATEN MAJALENGKA,43,ORANG,2021
37,32,JAWA BARAT,KABUPATEN PANGANDARAN,5,ORANG,2021
38,32,JAWA BARAT,KABUPATEN PURWAKARTA,7,ORANG,2021
39,32,JAWA BARAT,KABUPATEN SUBANG,21,ORANG,2021
40,32,JAWA BARAT,KABUPATEN SUMEDANG,13,ORANG,2021
41,32,JAWA BARAT,KABUPATEN TASIKMALAYA,4,ORANG,2021
42,32,JAWA BARAT,KOTA BANDUNG,20,ORANG,2021
43,32,JAWA BARAT,KOTA BANJAR,5,ORANG,2021
44,32,JAWA BARAT,KOTA CIMAHI,35,ORANG,2021
45,32,JAWA BARAT,KOTA CIREBON,85,ORANG,2021
46,32,JAWA BARAT,KOTA DEPOK,15,ORANG,2021
47,32,JAWA BARAT,KOTA TASIKMALAYA,5,ORANG,2021
48,32,JAWA BARAT,SUKABUMI,20,ORANG,2021
